"id","plates","genotype"
"4-1",11,"mm"
"4-2",63,"Mm"
"4-4",22,"Mm"
"4-5",10,"Mm"
"4-10",14,"mm"
"4-12",11,"mm"
"4-14",58,"Mm"
"4-23",36,"Mm"
"4-31",31,"Mm"
"4-38",61,"Mm"
"4-39",63,"Mm"
"4-40",8,"mm"
"4-42",12,"mm"
"4-43",11,"mm"
"4-44",64,"Mm"
"4-46",64,"Mm"
"4-47",12,"mm"
"4-48",55,"Mm"
"4-49",21,"Mm"
"4-52",64,"MM"
"4-54",47,"Mm"
"4-56",57,"Mm"
"4-57",11,"mm"
"4-58",58,"Mm"
"4-69",65,"MM"
"4-70",63,"Mm"
"4-71",9,"mm"
"4-72",62,"MM"
"4-76",29,"Mm"
"4-78",10,"Mm"
"4-79",63,"MM"
"4-80",9,"mm"
"4-81",61,"Mm"
"4-82",39,"Mm"
"4-84",9,"mm"
"4-89",50,"Mm"
"4-90",10,"mm"
"4-95",60,"MM"
"4-96",60,"Mm"
"4-97",9,"mm"
"4-98",63,"Mm"
"4-99",64,"MM"
"4-100",11,"mm"
"4-101",60,"Mm"
"4-103",66,"Mm"
"4-110",63,"MM"
"4-112",63,"Mm"
"4-113",14,"mm"
"4-119",14,"mm"
"4-122",59,"Mm"
"4-123",30,"Mm"
"4-127",64,"MM"
"4-132",14,"mm"
"4-135",14,"mm"
"4-139",13,"mm"
"4-141",62,"Mm"
"4-142",64,"MM"
"4-145",65,"MM"
"4-147",34,"Mm"
"4-155",64,"MM"
"4-158",64,"MM"
"4-160",62,"Mm"
"4-161",63,"MM"
"4-162",30,"Mm"
"4-164",13,"mm"
"4-168",10,"mm"
"4-170",49,"MM"
"4-171",62,"Mm"
"4-172",43,"Mm"
"4-173",66,"MM"
"4-175",61,"MM"
"4-177",26,"Mm"
"4-178",63,"MM"
"4-180",59,"Mm"
"4-183",66,"MM"
"4-186",65,"MM"
"4-190",62,"Mm"
"4-192",63,"Mm"
"4-195",56,"Mm"
"4-196",13,"mm"
"4-198",62,"Mm"
"4-208",28,"Mm"
"4-209",61,"Mm"
"4-211",56,"Mm"
"4-6",62,"MM"
"4-7",62,"Mm"
"4-8",39,"Mm"
"4-9",25,"Mm"
"4-11",34,"Mm"
"4-13",64,"MM"
"4-15",11,"mm"
"4-16",63,"Mm"
"4-17",64,"Mm"
"4-18",14,"mm"
"4-19",60,"MM"
"4-20",61,"Mm"
"4-21",14,"mm"
"4-22",62,"MM"
"4-24",8,"mm"
"4-25",37,"mm"
"4-27",61,"Mm"
"4-28",13,"mm"
"4-29",10,"mm"
"4-30",62,"Mm"
"4-32",64,"MM"
"4-33",63,"Mm"
"4-34",12,"mm"
"4-35",8,"mm"
"4-36",58,"Mm"
"4-37",51,"Mm"
"4-41",64,"MM"
"4-45",65,"MM"
"4-50",62,"Mm"
"4-51",12,"mm"
"4-53",61,"Mm"
"4-55",64,"MM"
"4-59",66,"MM"
"4-60",53,"Mm"
"4-61",10,"mm"
"4-62",32,"Mm"
"4-63",24,"Mm"
"4-64",62,"MM"
"4-65",14,"mm"
"4-66",61,"MM"
"4-67",8,"mm"
"4-68",10,"mm"
"4-73",63,"Mm"
"4-75",62,"Mm"
"4-77",52,"Mm"
"4-83",13,"mm"
"4-85",32,"Mm"
"4-87",22,"mm"
"4-88",60,"Mm"
"4-91",9,"mm"
"4-92",62,"Mm"
"4-93",65,"MM"
"4-105",61,"Mm"
"4-106",52,"Mm"
"4-107",53,"Mm"
"4-108",51,"Mm"
"4-109",63,"MM"
"4-111",61,"Mm"
"4-114",63,"MM"
"4-115",56,"Mm"
"4-116",57,"Mm"
"4-117",54,"Mm"
"4-118",12,"mm"
"4-120",63,"MM"
"4-121",47,"Mm"
"4-124",65,"MM"
"4-125",62,"MM"
"4-126",63,"MM"
"4-129",48,"Mm"
"4-130",59,"Mm"
"4-131",8,"mm"
"4-134",12,"mm"
"4-136",62,"Mm"
"4-137",61,"MM"
"4-138",64,"MM"
"4-143",61,"Mm"
"4-146",31,"Mm"
"4-149",11,"mm"
"4-150",24,"Mm"
"4-151",26,"Mm"
"4-152",14,"mm"
"4-153",64,"Mm"
"4-154",12,"mm"
"4-157",25,"Mm"
"4-159",49,"Mm"
"4-163",61,"MM"
"4-165",60,"Mm"
"4-166",65,"MM"
"4-167",61,"Mm"
"4-169",64,"MM"
"4-174",63,"MM"
"4-176",62,"Mm"
"4-179",8,"mm"
"4-181",65,"MM"
"4-182",12,"mm"
"4-184",22,"Mm"
"4-185",48,"Mm"
"4-187",68,"Mm"
"4-189",42,"Mm"
"4-191",63,"Mm"
"4-193",62,"Mm"
"4-197",27,"Mm"
"4-199",10,"mm"
"4-200",61,"Mm"
"4-201",63,"MM"
"4-203",29,"Mm"
"4-204",62,"Mm"
"4-205",64,"MM"
"4-206",9,"mm"
"4-207",42,"MM"
"4-210",35,"Mm"
"4-212",10,"mm"
"4-215",62,"Mm"
"4-216",61,"Mm"
"4-218",62,"Mm"
"4-219",51,"Mm"
"4-220",59,"Mm"
"4-221",45,"Mm"
"4-222",62,"Mm"
"4-223",60,"Mm"
"4-224",63,"Mm"
"4-226",60,"Mm"
"4-227",62,"MM"
"4-228",64,"MM"
"4-229",29,"Mm"
"4-230",63,"Mm"
"4-231",14,"mm"
"4-232",21,"Mm"
"4-233",10,"mm"
"4-234",8,"mm"
"4-235",64,"Mm"
"4-236",63,"MM"
"4-238",60,"Mm"
"4-239",51,"Mm"
"4-240",58,"Mm"
"4-241",45,"Mm"
"4-242",14,"mm"
"4-244",10,"mm"
"4-245",39,"Mm"
"4-246",49,"Mm"
"4-247",13,"Mm"
"4-248",14,"mm"
"4-250",65,"MM"
"4-251",63,"MM"
"4-252",69,"MM"
"4-253",61,"Mm"
"4-254",62,"Mm"
"4-255",12,"mm"
"4-256",62,"MM"
"4-257",63,"MM"
"4-258",62,"MM"
"4-259",63,"MM"
"4-260",54,"Mm"
"4-261",60,"Mm"
"4-262",64,"MM"
"4-264",41,"Mm"
"4-265",62,"MM"
"4-266",11,"mm"
"4-267",12,"mm"
"4-268",61,"Mm"
"4-269",61,"Mm"
"4-270",64,"Mm"
"4-271",67,"MM"
"4-272",12,"mm"
"4-273",14,"mm"
"4-274",66,"MM"
"4-275",12,"mm"
"4-276",54,"Mm"
"4-277",60,"MM"
"4-278",64,"Mm"
"4-279",40,"Mm"
"4-280",12,"mm"
"4-281",9,"mm"
"4-282",59,"Mm"
"4-284",45,"Mm"
"4-285",66,"MM"
"4-287",11,"mm"
"4-288",34,"Mm"
"4-289",62,"Mm"
"4-290",14,"mm"
"4-291",52,"Mm"
"4-292",17,"Mm"
"4-293",64,"Mm"
"4-294",51,"Mm"
"4-295",9,"mm"
"4-296",56,"MM"
"4-297",57,"Mm"
"4-298",9,"mm"
"4-299",62,"Mm"
"4-300",62,"MM"
"4-301",60,"Mm"
"4-302",11,"mm"
"4-303",61,"Mm"
"4-304",24,"Mm"
"4-305",62,"MM"
"4-306",12,"mm"
"4-307",10,"mm"
"4-308",60,"Mm"
"4-309",64,"MM"
"4-311",62,"Mm"
"4-312",53,"Mm"
"4-313",10,"mm"
"4-314",65,"MM"
"4-315",11,"mm"
"4-316",64,"Mm"
"4-317",37,"Mm"
"4-318",54,"Mm"
"4-320",62,"MM"
"4-321",11,"mm"
"4-322",65,"MM"
"4-323",62,"Mm"
"4-324",60,"Mm"
"4-325",14,"mm"
"4-326",62,"MM"
"4-327",62,"MM"
"4-328",13,"mm"
"4-329",63,"MM"
"4-330",64,"MM"
"4-331",64,"MM"
"4-332",24,"Mm"
"4-333",23,"Mm"
"4-334",63,"MM"
"4-335",11,"mm"
"4-336",9,"mm"
"4-337",64,"MM"
"4-338",62,"MM"
"4-339",12,"mm"
"4-340",41,"Mm"
"4-341",61,"Mm"
"4-342",59,"Mm"
"4-343",59,"Mm"
"4-344",57,"MM"
"4-345",14,"mm"
"4-346",12,"Mm"
"4-347",20,"Mm"
"4-348",42,"Mm"
"4-349",10,"Mm"
"4-350",62,"MM"
"4-351",47,"Mm"
"4-352",11,"mm"
"4-353",64,"Mm"
"4-354",64,"Mm"
"4-355",42,"Mm"
"4-356",61,"Mm"
"4-357",26,"Mm"
"4-358",27,"Mm"
"4-359",12,"mm"
"4-360",61,"MM"
"4-361",11,"mm"
"4-362",6,"mm"
"4-363",64,"Mm"
"4-364",62,"Mm"
"4-365",61,"Mm"
"4-366",14,"mm"
"4-367",60,"Mm"
"4-368",8,"mm"
"4-369",62,"MM"
"4-371",14,"mm"
"4-372",60,"Mm"
"4-373",11,"mm"
